iterations,fevals,time,fitness
1570,219561,0.7013539190000002,606.0
1580,220608,0.7045469160000002,608.0
1590,221650,0.7073125080000002,608.0
1600,222683,0.7100953360000002,608.0
1610,223724,0.71309953,606.0
1620,224771,0.7160350990000002,608.0
1630,225812,0.7190731910000003,608.0
1640,226856,0.7221628520000003,608.0
1650,227901,0.7254489480000004,608.0
1660,228944,0.7284261930000004,608.0
1670,229984,0.7323100790000003,606.0
1680,231014,0.7351023840000004,606.0
1690,232051,0.7378631220000005,608.0
1700,233096,0.7406603880000004,606.0
1710,234137,0.7434345570000005,606.0
1720,235175,0.7462196720000005,608.0
1730,236217,0.7490686660000005,608.0
1740,237259,0.7519221360000006,608.0
1750,238301,0.7548157160000006,608.0
1760,239340,0.7576248140000008,610.0
1770,240386,0.760418787000001,610.0
1780,241428,0.763366731000001,608.0
