iterations,x,time,fitness
1380,0.65,0.0023068619999957463,682.0
1390,0.65,0.0023214019999961977,682.0
1400,0.65,0.0023354589999957653,686.0
1410,0.65,0.002350588999997072,688.0
1420,0.65,0.0023647399999955354,688.0
1430,0.65,0.0023780489999953858,690.0
1440,0.65,0.002391509999995378,690.0
1450,0.65,0.0024056169999937538,690.0
1460,0.65,0.002419610999993438,690.0
1470,0.65,0.002433235999992789,690.0
1480,0.65,0.0024477179999937704,690.0
1490,0.65,0.0024623419999940666,690.0
1500,0.65,0.002475871999994439,690.0
1510,0.65,0.0024904439999939854,690.0
1520,0.65,0.002504240999993357,690.0
1530,0.65,0.0025184619999940594,690.0
1540,0.65,0.002534054999994595,694.0
1550,0.65,0.002548772999993787,698.0
1560,0.65,0.00256322399999398,698.0
1570,0.65,0.0025764459999937372,698.0
1580,0.65,0.002590382999994034,698.0
1590,0.65,0.00260409699999542,698.0
1600,0.65,0.0026184189999955976,698.0
1610,0.65,0.0026323569999959773,700.0
1620,0.65,0.0026462859999973887,700.0
1630,0.65,0.0026611979999984214,702.0
1640,0.65,0.0026751059999980953,702.0
1650,0.65,0.0026893129999976395,704.0
1660,0.65,0.002705614999998218,704.0
1670,0.65,0.0027194669999968113,704.0
1680,0.65,0.002732796999996623,704.0
1690,0.65,0.0027474239999971672,706.0
1700,0.65,0.0027617649999971405,706.0
1710,0.65,0.00277609499999798,706.0
1720,0.65,0.002791479999999069,708.0
1730,0.65,0.002806031999998737,708.0
1740,0.65,0.002820373999998793,708.0
1750,0.65,0.002834897999999697,708.0
1760,0.65,0.002849605999999838,708.0
1770,0.65,0.0028640039999991984,708.0
1780,0.65,0.0028801039999990508,708.0
1790,0.65,0.0028954999999992737,708.0
1800,0.65,0.0029095969999985982,710.0
1810,0.65,0.002924083999998217,710.0
1820,0.65,0.0029396479999981295,710.0
1830,0.65,0.0029542899999981387,712.0
1840,0.65,0.002969194999996816,712.0
1850,0.65,0.0029848139999977263,712.0
1860,0.65,0.002999554999997045,712.0
1870,0.65,0.003014153999997049,714.0
1880,0.65,0.0030291049999959796,716.0
1890,0.65,0.003044241999996089,716.0
1900,0.65,0.0030585349999956435,718.0
1910,0.65,0.0030749629999959893,718.0
1920,0.65,0.0030898189999959413,718.0
1930,0.65,0.003105160999995249,718.0
1940,0.65,0.003119839999994767,720.0
1950,0.65,0.0031340969999948953,720.0
1960,0.65,0.003148790999993878,720.0
1970,0.65,0.003164261999993201,720.0
1980,0.65,0.003178794999993073,720.0
1990,0.65,0.0031936899999944757,720.0
2000,0.65,0.0032080549999946584,720.0
2010,0.65,0.003222534999993698,722.0
2020,0.65,0.003236988999992363,724.0
2030,0.65,0.003253461999991103,724.0
2040,0.65,0.003268251999990923,724.0
2050,0.65,0.00328319199999072,726.0
2060,0.65,0.0032983219999902502,726.0
2070,0.65,0.0033128799999904146,726.0
2080,0.65,0.003327755999990245,730.0
2090,0.65,0.003342585999989822,734.0
2100,0.65,0.003358032999988936,736.0
2110,0.65,0.00337332299998927,736.0
2120,0.65,0.0033883479999889943,736.0
2130,0.65,0.003403805999989018,736.0
2140,0.65,0.003418683999989014,736.0
2150,0.65,0.0034353489999894293,738.0
2160,0.65,0.0034537449999891834,742.0
2170,0.65,0.003468539999987641,744.0
2180,0.65,0.0034828009999881004,746.0
2190,0.65,0.003497707999986943,746.0
2200,0.65,0.003512459999987172,746.0
2210,0.65,0.0035273399999873334,748.0
2220,0.65,0.003543141999987398,748.0
2230,0.65,0.003558346999987805,748.0
2240,0.65,0.003573001999987113,748.0
2250,0.65,0.003588042999986385,752.0
2260,0.65,0.0036028719999858794,752.0
2270,0.65,0.0036171619999851856,752.0
2280,0.65,0.0036336899999849237,754.0
2290,0.65,0.0036486699999844774,754.0
2300,0.65,0.0036632689999844814,754.0
2310,0.65,0.0036776839999852484,754.0
2320,0.65,0.003692606999985415,754.0
2330,0.65,0.0037084529999855675,754.0
2340,0.65,0.003724193999984138,754.0
2350,0.65,0.003738700999983635,754.0
2360,0.65,0.003753268999984627,754.0
2370,0.65,0.0037687489999846946,754.0
2380,0.65,0.003783386999986149,754.0
2390,0.65,0.003798363999987231,754.0
2400,0.65,0.0038153499999875606,754.0
2410,0.65,0.003830522999987096,754.0
2420,0.65,0.0038451419999869785,754.0
2430,0.65,0.003859771999987771,754.0
2440,0.65,0.0038749989999882217,754.0
2450,0.65,0.003890048999988238,754.0
2460,0.65,0.003905499999989459,754.0
2470,0.65,0.003921194999989552,754.0
2480,0.65,0.003936357999990037,754.0
2490,0.65,0.003951879999990027,754.0
2500,0.65,0.003967024999990798,754.0
2510,0.65,0.004003566999990937,756.0
2520,0.65,0.0040265599999909085,756.0
2530,0.65,0.004050744999991807,756.0
2540,0.65,0.004068849999992352,756.0
2550,0.65,0.004083596999992167,756.0
2560,0.65,0.004099000999993052,756.0
2570,0.65,0.0041142249999932545,756.0
2580,0.65,0.004132438999993937,756.0
2590,0.65,0.004151364999993135,756.0
2600,0.65,0.004168768999994299,756.0
2610,0.65,0.004185330999995074,758.0
2620,0.65,0.004200434999994229,758.0
2630,0.65,0.004215166999992803,760.0
2640,0.65,0.004230895999993933,762.0
2650,0.65,0.004248658999992827,762.0
2660,0.65,0.004263872999992202,764.0
2670,0.65,0.00427834999999277,764.0
2680,0.65,0.004294140999993701,766.0
2690,0.65,0.004311050999994848,766.0
2700,0.65,0.00432636099999506,766.0
2710,0.65,0.004343426999994904,768.0
2720,0.65,0.004359757999994329,768.0
2730,0.65,0.004375587999993158,770.0
2740,0.65,0.00439111799999381,770.0
2750,0.65,0.004406219999994576,770.0
2760,0.65,0.004420923999994386,770.0
2770,0.65,0.00443655999999315,770.0
2780,0.65,0.004454482999992848,772.0
2790,0.65,0.004470138999991491,774.0
2800,0.65,0.004486253999992584,776.0
2810,0.65,0.004502135999993939,776.0
2820,0.65,0.004518194999993952,776.0
2830,0.65,0.004533491999993089,777.0
2840,0.65,0.004549451999993792,777.0
2850,0.65,0.0045665659999940544,777.0
2860,0.65,0.0045817499999945,777.0
2870,0.65,0.004597310999994164,777.0
2880,0.65,0.004612513999994405,779.0
2890,0.65,0.004627884999994336,779.0
2900,0.65,0.004645673999993605,779.0
2910,0.65,0.004661151999993507,779.0
2920,0.65,0.004676486999992235,779.0
2930,0.65,0.004691356999991569,779.0
2940,0.65,0.004706869999992591,779.0
2950,0.65,0.004724045999992654,779.0
2960,0.65,0.004755890999993184,779.0
2970,0.65,0.0047768279999935714,779.0
2980,0.65,0.004792502999993786,779.0
2990,0.65,0.004807787999993707,779.0
3000,0.65,0.004822573999993196,779.0
3010,0.65,0.004837662999992887,779.0
3020,0.65,0.004858578999993313,781.0
3030,0.65,0.004874040999993667,781.0
3040,0.65,0.004888987999992267,783.0
3050,0.65,0.004904955999991856,783.0
3060,0.65,0.004920390999991753,783.0
3070,0.65,0.004935350999993204,785.0
3080,0.65,0.004951153999993352,785.0
3090,0.65,0.004967157999994143,785.0
3100,0.65,0.0049823339999939265,785.0
3110,0.65,0.004997720999995181,785.0
3120,0.65,0.005012891999994551,785.0
3130,0.65,0.005027776999995126,785.0
3140,0.65,0.005042697999995127,785.0
3150,0.65,0.005062468999994962,785.0
3160,0.65,0.005077604999994989,785.0
3170,0.65,0.005092714999994641,785.0
3180,0.65,0.0051081399999937105,785.0
3190,0.65,0.005123302999994195,785.0
3200,0.65,0.00513883999999365,789.0
