iterations,fevals,time,fitness
1400,16687,0.0032272819999996927,807.0
1410,16688,0.00324945299999968,807.0
1420,16689,0.003271675999999668,807.0
1430,16690,0.0032918399999996573,807.0
1440,16691,0.0033117289999996524,807.0
1450,16692,0.003331904999999663,807.0
1460,16693,0.003351831999999666,807.0
1470,16694,0.0033711589999996794,807.0
1480,16695,0.0033933609999996783,807.0
1490,16696,0.003415363999999671,807.0
1500,16697,0.0034369999999996625,807.0
1510,16698,0.003456057999999651,807.0
1520,16699,0.0034721179999996354,807.0
1530,16700,0.003488538999999652,807.0
1540,16701,0.0035043989999996583,807.0
1550,16702,0.00352105899999966,807.0
1560,16703,0.0035368619999996687,807.0
1570,16704,0.003552445999999654,807.0
1580,16705,0.003568270999999651,807.0
1590,16706,0.003584046999999646,807.0
1600,16707,0.0035996679999996395,807.0
1610,16708,0.003619327999999644,807.0
1620,16709,0.003635356999999645,807.0
1630,16710,0.0036518929999996286,807.0
1640,16711,0.0036682929999996283,807.0
1650,16712,0.003685026999999619,807.0
1660,16713,0.0037067969999995953,807.0
1670,16714,0.0037285899999996153,807.0
1680,16715,0.0037479339999996197,807.0
1690,16716,0.0037668289999996385,807.0
1700,16717,0.0037907329999996575,807.0
1710,16718,0.0038134269999996473,807.0
1720,16719,0.003832372999999639,807.0
1730,16720,0.0038530879999996437,807.0
1740,16721,0.0038689889999996563,807.0
1750,16722,0.0038854989999996536,807.0
1760,16723,0.003916268999999639,807.0
1770,16724,0.0039322289999996485,807.0
1780,16725,0.003948201999999651,807.0
1790,16726,0.003966101999999638,807.0
1800,16727,0.0039811319999996375,807.0
1810,16728,0.003996269999999663,807.0
1820,16729,0.004011623999999658,807.0
1830,16730,0.004026854999999663,807.0
1840,16731,0.004042326999999651,807.0
1850,16732,0.004060642999999642,807.0
1860,16733,0.00407670999999965,807.0
1870,16734,0.004092757999999669,807.0
1880,16735,0.004108859999999659,807.0
1890,16736,0.004125607999999642,807.0
1900,16737,0.004141530999999643,807.0
1910,16738,0.004157251999999639,807.0
1920,16739,0.004173685999999649,807.0
1930,16740,0.004188966999999627,807.0
1940,16741,0.004204288999999611,807.0
1950,16742,0.004219654999999628,807.0
1960,16743,0.004235008999999623,807.0
1970,16744,0.0042501969999996225,807.0
1980,16745,0.0042680839999996445,807.0
1990,16746,0.004283990999999626,807.0
2000,16747,0.004299273999999631,807.0
2010,16748,0.00431485099999962,807.0
2020,16749,0.004330218999999608,807.0
2030,16750,0.004346224999999593,807.0
2040,16751,0.0043621859999996015,807.0
2050,16752,0.004377424999999602,807.0
2060,16753,0.004392688999999589,807.0
2070,16754,0.004408343999999564,807.0
2080,16755,0.004423925999999578,807.0
2090,16756,0.004439249999999562,807.0
2100,16757,0.00446101199999957,807.0
2110,16758,0.004476470999999593,807.0
2120,16759,0.004492550999999595,807.0
2130,16760,0.0045078439999995945,807.0
2140,16761,0.0045239589999996055,807.0
2150,16762,0.004539297999999581,807.0
2160,16763,0.004555220999999582,807.0
2170,16764,0.004571424999999574,807.0
2180,16765,0.004586778999999569,807.0
2190,16766,0.004602267999999549,807.0
2200,16767,0.004617532999999535,807.0
2210,16768,0.004633399999999538,807.0
2220,16769,0.004648815999999528,807.0
2230,16770,0.004666581999999531,807.0
2240,16771,0.004681995999999522,807.0
2250,16772,0.004697600999999524,807.0
2260,16773,0.004713617999999531,807.0
2270,16774,0.004729969999999528,807.0
2280,16775,0.004745806999999519,807.0
2290,16776,0.004761735999999517,807.0
2300,16777,0.004777331999999523,807.0
2310,16778,0.004792746999999514,807.0
2320,16779,0.004808202999999511,807.0
2330,16780,0.004823403999999504,807.0
2340,16781,0.0048385449999995,807.0
2350,16782,0.0048560999999995025,807.0
2360,16783,0.004871687999999513,807.0
2370,16784,0.004887029999999515,807.0
2380,16785,0.004903391999999507,807.0
2390,16786,0.004919427999999504,807.0
2400,16787,0.004935606999999509,807.0
2410,16788,0.004951949999999511,807.0
2420,16789,0.004967321999999524,807.0
2430,16790,0.004983617999999523,807.0
2440,16791,0.004998999999999504,807.0
2450,16792,0.005014517999999496,807.0
2460,16793,0.005029836999999482,807.0
2470,16794,0.005048002999999468,807.0
2480,16795,0.00506389099999946,807.0
2490,16796,0.005079502999999458,807.0
2500,16797,0.005095579999999461,807.0
2510,16798,0.00511180399999947,807.0
2520,16799,0.005127846999999464,807.0
2530,16800,0.005143282999999443,807.0
2540,16801,0.005159026999999428,807.0
2550,16802,0.00517443899999942,807.0
2560,16803,0.005189938999999422,807.0
2570,16804,0.005205649999999423,807.0
2580,16805,0.005240791999999439,807.0
2590,16806,0.005260646999999452,807.0
