iterations,fevals,time,fitness
1310,38727,0.007663423999999919,903.0
1320,38728,0.007680801999999903,903.0
1330,38729,0.007697612999999881,903.0
1340,38730,0.0077146349999998864,903.0
1350,38731,0.0077314809999998735,903.0
1360,38732,0.007748303999999873,903.0
1370,38733,0.00776822299999988,903.0
1380,38734,0.007785088999999884,903.0
1390,38735,0.007801842999999892,903.0
1400,38736,0.007818797999999905,903.0
1410,38737,0.007835720999999907,903.0
1420,38738,0.007852386999999905,903.0
1430,38739,0.007869616999999884,903.0
1440,38740,0.007886282999999883,903.0
1450,38741,0.007902975999999895,903.0
1460,38742,0.007942795999999891,903.0
1470,38743,0.007960458999999892,903.0
1480,38744,0.007976910999999892,903.0
1490,38745,0.007998964999999886,903.0
1500,38746,0.008016681999999886,903.0
1510,38747,0.008033433999999895,903.0
1520,38748,0.008050167999999885,903.0
1530,38749,0.00806682299999989,903.0
1540,38750,0.00808360999999988,903.0
1550,38751,0.00810062399999989,903.0
1560,38752,0.008119353999999884,903.0
1570,38753,0.0081361469999999,903.0
1580,38754,0.008153778999999917,903.0
1590,38755,0.008170254999999932,903.0
1600,38756,0.008187518999999949,903.0
1610,38757,0.008203953999999958,903.0
1620,38758,0.008223314999999953,903.0
1630,38759,0.008240160999999968,903.0
1640,38760,0.008256702999999976,903.0
1650,38761,0.00827360799999996,903.0
1660,38762,0.008290416999999967,903.0
1670,38763,0.008307524999999955,903.0
1680,38764,0.008325257999999974,903.0
1690,38765,0.008341813999999975,903.0
1700,38766,0.008358717999999987,903.0
1710,38767,0.008375500000000008,903.0
1720,38768,0.008392835000000015,903.0
1730,38769,0.008412399000000015,903.0
1740,38770,0.008436526,903.0
1750,38771,0.008457434999999985,903.0
1760,38772,0.008474711999999968,903.0
1770,38773,0.008491376999999967,903.0
1780,38774,0.00850817599999995,903.0
1790,38775,0.008524579999999948,903.0
1800,38776,0.008541209999999938,903.0
1810,38777,0.00855931099999993,903.0
1820,38778,0.008576915999999934,903.0
1830,38779,0.008593720999999943,903.0
1840,38780,0.008610060999999947,903.0
1850,38781,0.00862708699999995,903.0
1860,38782,0.008643863999999946,903.0
